"genotype" "clonalcolony" "identifier"
"FY4-5" "A6-110316" 97117
"FY4-5" "A6-110316" 97120
"FY4-5" "A6-110316" 97121
"FY4-5" "A6-110316" 97122
"FY4-5" "A6-110316" 97125
"FY4-5" "A6-110316" 97128
"FY4-5" "A6-110316" 97129
"FY4-5" "A6-110316" 97131
"FY4-5" "A6-110316" 97132
"FY4-5" "A6-110316" 97133
"FY4-5" "A6-110316" 97134
"FY4-5" "A6-110316" 97135
"FY4-5" "A6-110316" 97136
"FY4-5" "A6-110316" 97137
"FY4-5" "A6-110316" 97138
"FY4-5" "A6-110316" 97142
"FY4-5" "A6-110316" 97143
"FY4-5" "A6-110316" 97144
"FY4-5" "A6-110316" 97145
"FY4-5" "A6-110316" 97146
"FY4-5" "A6-110316" 97147
"FY4-5" "A6-110316" 97148
"FY4-5" "A6-110316" 97152
"FY4-5" "A6-110316" 97155
"FY4-5" "A6-110316" 97156
"FY4-5" "A6-110316" 97158
"FY4-5" "A6-110316" 97160
"FY4-5" "A6-110316" 97161
"FY4-5" "A6-110316" 97162
"FY4-5" "A6-110316" 97165
"FY4-5" "A6-110316" 97171
"FY4-5" "A6-110316" 97173
"FY4-5" "A6-110316" 97175
"FY4-5" "A6-110316" 97176
"FY4-5" "A6-110316" 97182
"FY4-5" "A6-110316" 97184
"FY4-5" "A6-110316" 97185
"FY4-5" "A6-110316" 97186
"FY4-5" "A6-110316" 97187
"FY4-5" "A6-110316" 97190
"FY4-5" "A6-110316" 97191
"FY4-5" "A6-110316" 97192
"FY4-5" "A6-110316" 97193
"FY4-5" "A6-110316" 97194
"FY4-5" "A6-110316" 97199
"FY4-5" "A6-110316" 97200
"FY4-5" "A6-110316" 97201
"FY4-5" "A6-110316" 97202
"FY4-5" "A6-110316" 97203
"FY4-5" "A6-110316" 97204
"FY4-5" "A6-110316" 97206
"FY4-5" "A6-110316" 97208
"FY4-5" "A6-110316" 97209
"FY4-5" "A6-110316" 97210
"FY4-5" "A6-110316" 97211
"FY4-5" "A6-110316" 97212
"FY4-5" "A6-110316" 97219
"FY4-5" "A6-110316" 97220
"FY4-5" "A6-110316" 97236
"FY4-5" "A6-110316" 97237
"FY4-5" "A6-110316" 97256
"FY4-5" "A6-110316" 97257
"FY4-5" "A6-110316" 97258
"FY4-5" "A6-110316" 97259
"FY4-5" "A6-110316" 97260
"FY4-5" "A6-110316" 97261
"FY4-5" "A6-110316" 97262
"FY4-5" "A6-110316" 97264
"FY4-5" "A6-110316" 97268
"FY4-5" "A6-110316" 97271
"FY4-5" "A6-110316" 97272
"FY4-5" "A6-110316" 97273
"FY4-5" "A6-110316" 97274
"FY4-5" "A6-110316" 97275
"FY4-5" "A6-110316" 97278
"FY4-5" "A6-110316" 97289
"FY4-5" "A6-110316" 97290
"FY4-5" "A6-110316" 97291
"FY4-5" "A6-110316" 97292
"FY4-5" "A6-110316" 97293
"FY4-5" "A6-110316" 97296
"FY4-5" "A6-110316" 97297
"FY4-5" "A6-110316" 97298
"FY4-5" "A6-110316" 97300
"FY4-5" "A6-110316" 97301
"FY4-5" "A6-110316" 97302
"FY4-5" "A6-110316" 97303
"FY4-5" "A6-110316" 97304
"FY4-5" "A6-110316" 97307
"FY4-5" "A6-110316" 97308
"FY4-5" "A6-110316" 97309
