Culture	Time	TotalArea	Number
R05C03	1321419018.000000	499570.500000	45
R05C03	1321420178.000000	538304.000000	51
R05C03	1321421322.000000	572003.500000	42
R05C03	1321422470.000000	597153.500000	42
R05C03	1321423612.000000	628344.000000	35
R05C03	1321424756.000000	663566.500000	32
R05C03	1321425900.000000	663533.000000	24
R05C03	1321427072.000000	719603.000000	32
R05C03	1321428214.000000	745056.000000	27
R05C03	1321429352.000000	791805.000000	20
R05C03	1321430496.000000	815919.500000	19
R05C03	1321431642.000000	834039.500000	25
R05C03	1321432794.000000	859781.000000	18
R05C03	1321433968.000000	881276.500000	18
R05C03	1321435118.000000	902250.500000	16
R05C03	1321436260.000000	920253.000000	15
R05C03	1321437402.000000	939178.000000	20
R05C03	1321438554.000000	957826.500000	17
R05C03	1321439704.000000	974005.500000	14
R05C03	1321440862.000000	990830.500000	12
R05C03	1321442028.000000	801663.000000	16
R05C03	1321443174.000000	1025830.500000	14
R05C03	1321444324.000000	1037952.500000	12
R05C03	1321445470.000000	1049214.000000	9
R05C03	1321446624.000000	1060938.500000	13
R05C03	1321447780.000000	1070695.500000	8
R05C03	1321448958.000000	1080110.000000	11
R05C03	1321450106.000000	1088029.000000	13
R05C03	1321451256.000000	1095331.000000	11
R05C03	1321452404.000000	1124632.000000	8
R05C03	1321453558.000000	1177622.500000	7
R05C03	1321454708.000000	1393114.000000	1
R05C03	1321455912.000000	1393072.500000	1
R05C03	1321457082.000000	1393008.500000	1
R05C03	1321458254.000000	1393112.500000	1
R05C03	1321459424.000000	1393043.500000	1
R05C03	1321460596.000000	1393113.000000	1
R05C03	1321461766.000000	1393069.000000	1
R05C04	1321349676.000000	10224.500000	219
R05C04	1321350804.000000	9868.000000	209
R05C04	1321351918.000000	11010.000000	206
R05C04	1321353040.000000	9898.000000	206
R05C04	1321354160.000000	10601.500000	192
R05C04	1321355288.000000	11979.000000	202
R05C04	1321356412.000000	11442.000000	195
R05C04	1321357544.000000	12200.000000	192
R05C04	1321358670.000000	12993.000000	184
R05C04	1321359800.000000	13265.000000	210
R05C04	1321360924.000000	14696.000000	198
R05C04	1321362054.000000	16013.500000	186
R05C04	1321363178.000000	17169.000000	204
R05C04	1321364308.000000	17286.000000	202
R05C04	1321365452.000000	18354.000000	197
R05C04	1321366580.000000	19423.000000	208
R05C04	1321367710.000000	20026.000000	197
R05C04	1321368834.000000	22943.500000	180
R05C04	1321369964.000000	23022.500000	182
R05C04	1321371096.000000	24233.500000	197
R05C04	1321372228.000000	26787.000000	197
R05C04	1321373374.000000	29883.000000	173
R05C04	1321374512.000000	31639.500000	180
R05C04	1321375644.000000	34317.000000	188
R05C04	1321376782.000000	35889.000000	173
R05C04	1321377920.000000	38182.500000	178
R05C04	1321379054.000000	41019.000000	183
R05C04	1321380180.000000	44286.000000	182
R05C04	1321381332.000000	49425.500000	185
R05C04	1321382466.000000	53585.500000	177
R05C04	1321383600.000000	55087.000000	185
R05C04	1321384738.000000	60178.500000	177
R05C04	1321385868.000000	65881.500000	189
R05C04	1321387000.000000	71526.500000	169
R05C04	1321388130.000000	77278.000000	174
R05C04	1321389274.000000	85030.500000	176
R05C04	1321390410.000000	92540.000000	182
R05C04	1321391544.000000	100486.500000	167
R05C04	1321392684.000000	104601.500000	165
R05C04	1321393822.000000	115971.500000	163
R05C04	1321394964.000000	126341.500000	163
R05C04	1321396108.000000	136177.500000	160
R05C04	1321397264.000000	147830.000000	163
R05C04	1321398410.000000	163096.000000	150
R05C04	1321399550.000000	179188.500000	164
R05C04	1321400688.000000	187990.500000	149
R05C04	1321401824.000000	207209.500000	152
R05C04	1321402964.000000	224919.500000	142
R05C04	1321404114.000000	245895.000000	129
R05C04	1321405262.000000	266173.000000	131
R05C04	1321406406.000000	288950.500000	119
R05C04	1321407552.000000	311020.500000	130
R05C04	1321408692.000000	337677.000000	118
R05C04	1321409836.000000	361014.000000	117
R05C04	1321410968.000000	391251.500000	116
R05C04	1321412136.000000	421038.000000	114
R05C04	1321413284.000000	449378.000000	104
R05C04	1321414426.000000	482867.000000	96
R05C04	1321415568.000000	512110.000000	92
R05C04	1321416714.000000	547585.500000	85
R05C04	1321417888.000000	585657.000000	70
R05C04	1321419036.000000	620379.000000	63
R05C04	1321420196.000000	656812.500000	61
R05C04	1321421340.000000	692516.500000	57
R05C04	1321422488.000000	729235.000000	49
R05C04	1321423630.000000	761372.000000	53
R05C04	1321424772.000000	797677.000000	43
R05C04	1321425918.000000	829123.500000	36
R05C04	1321427090.000000	862615.500000	31
R05C04	1321428232.000000	894254.000000	30
R05C04	1321429370.000000	926271.000000	26
R05C04	1321430514.000000	958901.000000	31
R05C04	1321431660.000000	984759.000000	23
R05C04	1321432812.000000	1006829.500000	21
R05C04	1321433986.000000	1112018.000000	17
R05C04	1321435136.000000	1127740.500000	11
R05C04	1321436276.000000	1143747.000000	14
R05C04	1321437420.000000	1158324.000000	11
R05C04	1321438572.000000	1171882.500000	10
R05C04	1321439722.000000	1183746.500000	5
R05C04	1321440880.000000	1195840.500000	9
R05C04	1321442046.000000	1274151.000000	1
R05C04	1321443192.000000	1278837.000000	4
R05C04	1321444340.000000	1284817.000000	3
R05C04	1321445488.000000	1289612.500000	2
R05C04	1321446642.000000	1293273.500000	1
R05C04	1321447798.000000	1297884.000000	2
R05C04	1321448976.000000	1301521.000000	2
R05C04	1321450124.000000	1304140.000000	3
R05C04	1321451272.000000	1306657.000000	3
R05C04	1321452422.000000	1308978.000000	2
R05C04	1321453576.000000	1311108.500000	2
R05C04	1321454726.000000	1392954.000000	1
R05C04	1321455930.000000	1393042.000000	1
R05C04	1321457100.000000	1392982.000000	1
R05C04	1321458272.000000	1392934.500000	1
R05C04	1321459442.000000	1392960.500000	1
R05C04	1321460614.000000	1392928.500000	1
R05C04	1321461786.000000	1392844.000000	1
R05C05	1321349694.000000	9677.500000	140
R05C05	1321350822.000000	9613.500000	141
R05C05	1321351936.000000	10143.000000	141
R05C05	1321353058.000000	10413.000000	132
R05C05	1321354178.000000	10544.500000	142
R05C05	1321355306.000000	10203.500000	141
R05C05	1321356430.000000	10729.000000	137
R05C05	1321357562.000000	11280.500000	141
R05C05	1321358688.000000	11473.500000	133
R05C05	1321359818.000000	11804.000000	138
R05C05	1321360942.000000	13430.500000	138
R05C05	1321362072.000000	12713.500000	145
R05C05	1321363196.000000	14019.000000	140
R05C05	1321364326.000000	14046.500000	141
R05C05	1321365470.000000	14963.000000	131
R05C05	1321366598.000000	15013.000000	138
R05C05	1321367728.000000	15601.500000	142
R05C05	1321368852.000000	16538.000000	141
R05C05	1321369982.000000	18449.000000	132
R05C05	1321371114.000000	19312.000000	125
R05C05	1321372246.000000	21000.500000	138
R05C05	1321373392.000000	22637.000000	141
R05C05	1321374530.000000	23621.000000	134
R05C05	1321375662.000000	26004.500000	137
R05C05	1321376800.000000	24931.500000	137
R05C05	1321377938.000000	27270.000000	138
R05C05	1321379072.000000	29432.000000	137
R05C05	1321380198.000000	31195.000000	131
R05C05	1321381348.000000	34751.500000	139
R05C05	1321382484.000000	37797.500000	131
R05C05	1321383618.000000	38583.500000	135
R05C05	1321384756.000000	41751.500000	127
R05C05	1321385886.000000	44778.000000	129
R05C05	1321387018.000000	48873.500000	127
R05C05	1321388148.000000	51845.000000	125
R05C05	1321389292.000000	57052.000000	131
R05C05	1321390428.000000	57487.500000	128
R05C05	1321391562.000000	64304.000000	117
R05C05	1321392702.000000	69592.500000	122
R05C05	1321393840.000000	74451.000000	119
R05C05	1321394982.000000	80112.000000	122
R05C05	1321396126.000000	86252.000000	122
R05C05	1321397282.000000	92929.000000	126
R05C05	1321398428.000000	100494.500000	113
R05C05	1321399568.000000	106620.500000	118
R05C05	1321400706.000000	114708.000000	107
R05C05	1321401842.000000	123954.500000	112
R05C05	1321402980.000000	135535.000000	119
R05C05	1321404132.000000	144566.000000	109
R05C05	1321405278.000000	156722.500000	110
R05C05	1321406424.000000	167833.500000	103
R05C05	1321407570.000000	182769.000000	94
R05C05	1321408710.000000	196792.500000	96
R05C05	1321409854.000000	209725.000000	96
R05C05	1321410984.000000	226115.000000	103
R05C05	1321412154.000000	241479.500000	97
R05C05	1321413300.000000	262468.500000	92
R05C05	1321414444.000000	279503.500000	95
R05C05	1321415586.000000	295612.500000	91
R05C05	1321416730.000000	317190.500000	88
R05C05	1321417906.000000	335961.000000	80
R05C05	1321419054.000000	359248.000000	73
R05C05	1321420214.000000	382944.000000	73
R05C05	1321421358.000000	408351.000000	76
R05C05	1321422506.000000	431068.000000	72
R05C05	1321423646.000000	454799.500000	71
R05C05	1321424790.000000	483455.500000	59
R05C05	1321425934.000000	512533.000000	57
