Library	ORF 	Plate	Row	Column	Notes
LiqCurve	HIS3_7	1	14	14	
LiqCurve	HIS3_8	1	15	14	
LiqCurve	HIS3_8	1	16	14	
LiqCurve	HTZ1_1	1	1	15	
LiqCurve	HTZ1_1	1	2	15	
LiqCurve	HTZ1_2	1	3	15	
LiqCurve	HTZ1_2	1	4	15	
LiqCurve	HTZ1_3	1	5	15	
LiqCurve	HTZ1_3	1	6	15	
LiqCurve	HTZ1_4	1	7	15	
LiqCurve	HTZ1_4	1	8	15	
LiqCurve	HTZ1_5	1	9	15	
LiqCurve	HTZ1_5	1	10	15	
LiqCurve	HTZ1_6	1	11	15	
LiqCurve	HTZ1_6	1	12	15	
LiqCurve	HTZ1_7	1	13	15	
LiqCurve	HTZ1_7	1	14	15	
LiqCurve	HTZ1_8	1	15	15	
LiqCurve	HTZ1_8	1	16	15	
LiqCurve	HTZ1_1	1	1	16	
LiqCurve	HTZ1_1	1	2	16	
LiqCurve	HTZ1_2	1	3	16	
LiqCurve	HTZ1_2	1	4	16	
LiqCurve	HTZ1_3	1	5	16	
LiqCurve	HTZ1_3	1	6	16	
LiqCurve	HTZ1_4	1	7	16	
LiqCurve	HTZ1_4	1	8	16	
LiqCurve	HTZ1_5	1	9	16	
LiqCurve	HTZ1_5	1	10	16	
LiqCurve	HTZ1_6	1	11	16	
LiqCurve	HTZ1_6	1	12	16	
LiqCurve	HTZ1_7	1	13	16	
LiqCurve	HTZ1_7	1	14	16	
LiqCurve	HTZ1_8	1	15	16	
LiqCurve	HTZ1_8	1	16	16	
LiqCurve	HIS3_1	1	1	17	
LiqCurve	HIS3_1	1	2	17	
LiqCurve	HIS3_2	1	3	17	
LiqCurve	HIS3_2	1	4	17	
LiqCurve	HIS3_3	1	5	17	
LiqCurve	HIS3_3	1	6	17	
LiqCurve	HIS3_4	1	7	17	
LiqCurve	HIS3_4	1	8	17	
LiqCurve	HIS3_5	1	9	17	
LiqCurve	HIS3_5	1	10	17	
LiqCurve	HIS3_6	1	11	17	
LiqCurve	HIS3_6	1	12	17	
LiqCurve	HIS3_7	1	13	17	
LiqCurve	HIS3_7	1	14	17	
LiqCurve	HIS3_8	1	15	17	
LiqCurve	HIS3_8	1	16	17	
LiqCurve	HIS3_1	1	1	18	
LiqCurve	HIS3_1	1	2	18	
LiqCurve	HIS3_2	1	3	18	
LiqCurve	HIS3_2	1	4	18	
LiqCurve	HIS3_3	1	5	18	
LiqCurve	HIS3_3	1	6	18	
LiqCurve	HIS3_4	1	7	18	
LiqCurve	HIS3_4	1	8	18	
LiqCurve	HIS3_5	1	9	18	
LiqCurve	HIS3_5	1	10	18	
LiqCurve	HIS3_6	1	11	18	
LiqCurve	HIS3_6	1	12	18	
LiqCurve	HIS3_7	1	13	18	
LiqCurve	HIS3_7	1	14	18	
LiqCurve	HIS3_8	1	15	18	
LiqCurve	HIS3_8	1	16	18	
LiqCurve	HTZ1_1	1	1	19	
LiqCurve	HTZ1_1	1	2	19	
LiqCurve	HTZ1_2	1	3	19	
LiqCurve	HTZ1_2	1	4	19	
LiqCurve	HTZ1_3	1	5	19	
LiqCurve	HTZ1_3	1	6	19	
LiqCurve	HTZ1_4	1	7	19	
LiqCurve	HTZ1_4	1	8	19	
LiqCurve	HTZ1_5	1	9	19	
LiqCurve	HTZ1_5	1	10	19	
LiqCurve	HTZ1_6	1	11	19	
LiqCurve	HTZ1_6	1	12	19	
LiqCurve	HTZ1_7	1	13	19	
LiqCurve	HTZ1_7	1	14	19	
LiqCurve	HTZ1_8	1	15	19	
LiqCurve	HTZ1_8	1	16	19	
LiqCurve	HTZ1_1	1	1	20	
LiqCurve	HTZ1_1	1	2	20	
LiqCurve	HTZ1_2	1	3	20	
LiqCurve	HTZ1_2	1	4	20	
LiqCurve	HTZ1_3	1	5	20	
LiqCurve	HTZ1_3	1	6	20	
LiqCurve	HTZ1_4	1	7	20	
LiqCurve	HTZ1_4	1	8	20	
LiqCurve	HTZ1_5	1	9	20	
LiqCurve	HTZ1_5	1	10	20	
LiqCurve	HTZ1_6	1	11	20	
LiqCurve	HTZ1_6	1	12	20	
LiqCurve	HTZ1_7	1	13	20	
LiqCurve	HTZ1_7	1	14	20	
LiqCurve	HTZ1_8	1	15	20	
LiqCurve	HTZ1_8	1	16	20	
LiqCurve	HIS3_1	1	1	21	
LiqCurve	HIS3_1	1	2	21	
LiqCurve	HIS3_2	1	3	21	
LiqCurve	HIS3_2	1	4	21	
LiqCurve	HIS3_3	1	5	21	
LiqCurve	HIS3_3	1	6	21	
LiqCurve	HIS3_4	1	7	21	
LiqCurve	HIS3_4	1	8	21	
LiqCurve	HIS3_5	1	9	21	
LiqCurve	HIS3_5	1	10	21	
LiqCurve	HIS3_6	1	11	21	
LiqCurve	HIS3_6	1	12	21	
LiqCurve	HIS3_7	1	13	21	
LiqCurve	HIS3_7	1	14	21	
LiqCurve	HIS3_8	1	15	21	
LiqCurve	HIS3_8	1	16	21	
LiqCurve	HIS3_1	1	1	22	
LiqCurve	HIS3_1	1	2	22	
LiqCurve	HIS3_2	1	3	22	
LiqCurve	HIS3_2	1	4	22	
LiqCurve	HIS3_3	1	5	22	
LiqCurve	HIS3_3	1	6	22	
LiqCurve	HIS3_4	1	7	22	
LiqCurve	HIS3_4	1	8	22	
LiqCurve	HIS3_5	1	9	22	
LiqCurve	HIS3_5	1	10	22	
LiqCurve	HIS3_6	1	11	22	
LiqCurve	HIS3_6	1	12	22	
LiqCurve	HIS3_7	1	13	22	
LiqCurve	HIS3_7	1	14	22	
LiqCurve	HIS3_8	1	15	22	
LiqCurve	HIS3_8	1	16	22	
LiqCurve	HTZ1_1	1	1	23	
LiqCurve	HTZ1_1	1	2	23	
LiqCurve	HTZ1_2	1	3	23	
LiqCurve	HTZ1_2	1	4	23	
LiqCurve	HTZ1_3	1	5	23	
LiqCurve	HTZ1_3	1	6	23	
LiqCurve	HTZ1_4	1	7	23	
LiqCurve	HTZ1_4	1	8	23	
LiqCurve	HTZ1_5	1	9	23	
LiqCurve	HTZ1_5	1	10	23	
LiqCurve	HTZ1_6	1	11	23	
LiqCurve	HTZ1_6	1	12	23	
LiqCurve	HTZ1_7	1	13	23	
LiqCurve	HTZ1_7	1	14	23	
LiqCurve	HTZ1_8	1	15	23	
LiqCurve	HTZ1_8	1	16	23	
LiqCurve	HTZ1_1	1	1	24	
LiqCurve	HTZ1_1	1	2	24	
LiqCurve	HTZ1_2	1	3	24	
LiqCurve	HTZ1_2	1	4	24	
LiqCurve	HTZ1_3	1	5	24	
LiqCurve	HTZ1_3	1	6	24	
LiqCurve	HTZ1_4	1	7	24	
LiqCurve	HTZ1_4	1	8	24	
LiqCurve	HTZ1_5	1	9	24	
LiqCurve	HTZ1_5	1	10	24	
LiqCurve	HTZ1_6	1	11	24	
LiqCurve	HTZ1_6	1	12	24	
LiqCurve	HTZ1_7	1	13	24	
LiqCurve	HTZ1_7	1	14	24	
LiqCurve	HTZ1_8	1	15	24	
LiqCurve	HTZ1_8	1	16	24	
