Culture	Time	TotalArea	Number
R03C05	1321440610.000000	839540.000000	38
R03C05	1321441780.000000	862344.500000	33
R03C05	1321442928.000000	883378.500000	35
R03C05	1321444076.000000	908949.500000	31
R03C05	1321445224.000000	927086.500000	33
R03C05	1321446376.000000	981821.000000	29
R03C05	1321447530.000000	996481.500000	31
R03C05	1321448710.000000	1008322.000000	26
R03C05	1321449860.000000	1024485.000000	26
R03C05	1321451008.000000	1037364.000000	23
R03C05	1321452156.000000	1051221.500000	21
R03C05	1321453310.000000	1062003.000000	23
R03C05	1321454452.000000	1392709.500000	1
R03C05	1321455660.000000	1392765.000000	1
R03C05	1321456830.000000	1392775.500000	1
R03C05	1321458002.000000	1392913.000000	1
R03C05	1321459174.000000	1392943.500000	1
R03C05	1321460344.000000	1392810.000000	1
R03C05	1321461516.000000	1392803.000000	1
