"K" "r"
10409.333711616 0.42908360483018
10376.4979443376 0.412526984165041
9485.54255501607 0.339290537169088
10447.1244237776 0.303388420582178
10167.5725639453 0.339765278895057
10995.9042109045 0.333875907902986
13569.1149221229 0.333309206158083
12116.0138120986 0.421634056972059
14271.2780002134 0.350096060176698
13676.4823931808 0.498065161220968
11169.1622873521 0.375725616954528
12956.6067460621 0.320005481854484
10966.6512458767 0.372135818405179
10107.7585748754 0.200200721592715
13290.5033761104 0.151571101069573
12646.0068283027 0.160848992662008
6894.88400558312 0.110459928173583
5389.13923842965 0.17108400882009
5684.11805282712 0.151998803454142
7893.72145912395 0.139937806650396
6928.26263833319 0.118719910224136
6534.94452472197 0.129820399065276
6131.22064451758 0.142796420281286
5826.18472922471 0.175778341473587
5129.46634489782 0.210321711195597
5580.33535839635 0.159540454763671
5464.41019587144 0.18652249068206
6246.22279271416 0.15898957242362
5276.18170658024 0.143046837779261
5214.28971484807 0.17198100450779
6062.18549595129 0.15341444710979
5455.41424559059 0.138609943766806
5329.33802436122 0.130461646273088
5314.02541656731 0.211250862504461
5260.96278134166 0.253971183365849
5685.93303665619 0.237129579657217
5832.15527163562 0.381179690405754
8119.64666972383 0.277584665724771
8245.54473649935 0.252711455630689
8658.57702763609 0.281884157808893
5445.50060719628 0.43875138596036
6246.09260865978 0.554845819824092
8043.62653517825 0.439485532843097
6367.73456039298 0.345383051544612
6638.65553836803 0.422376844947314
7462.95697838729 0.418652599669564
8706.35492256075 0.577146826096605
11361.6497436351 0.451842683635129
9998.59202019226 0.529889245765692
7215.82796636779 0.368845442875653
10540.1175184506 0.441911729624046
14168.7200182337 0.402025929773197
14382.018912379 0.436877539061756
14051.7110055707 0.4163507281701
8783.78809345499 0.452286232695706
7526.15553023011 0.499796881895952
8155.88442369858 0.385962588313375
7035.37174961166 0.3718223911949
8834.38857762471 0.472274700029535
7819.56399708495 0.381227606048221
6299.65898020884 0.330547541793721
5402.57039450169 0.385013251229252
7285.08230611947 0.577720002571371
8790.96103285049 0.366728981673428
11890.8621553944 0.489841806661485
9611.91549635432 0.515908470560986
11385.9523280769 0.608704340548097
14748.8248557308 0.638642317233322
12977.3888124852 0.629180550660979
10948.6877487828 0.599502110810696
12519.1589838797 0.506308381846368
17732.0587365675 0.636754323372483
15400.6330689377 0.509208937111713
12455.7772594291 0.574220818499348
12443.3391566974 0.782782084800399
12563.7860988555 0.717852966911292
14972.1296552568 0.646619122017225
17719.5452297706 0.565397165773089
19785.1941905559 0.541146173756657
13228.5767576324 0.441146088717581
16839.2773169896 0.401848926210816
15988.0283738236 0.507800693922108
